GP,Date,Time,Time-1,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG
53,2/2/2019,8:00 PM,19:00:00,@,Minnesota Wild,4,3,W,OT,20,24,9,W 4,"19,114",2:39
54,2/5/2019,9:00 PM,20:00:00,@,Edmonton Oilers,6,2,W,,21,24,9,W 5,"18,347",2:32
55,2/7/2019,8:30 PM,19:30:00,,Vancouver Canucks,4,3,W,OT,22,24,9,W 6,"21,540",2:34
56,2/10/2019,3:00 PM,14:00:00,,Detroit Red Wings,5,2,W,,23,24,9,W 7,"21,941",2:31
57,2/12/2019,7:00 PM,18:00:00,@,Boston Bruins,3,6,L,,23,25,9,L 1,"17,565",2:32
58,2/14/2019,8:30 PM,19:30:00,,New Jersey Devils,5,2,W,,24,25,9,W 1,"21,038",2:28
59,2/16/2019,8:30 PM,19:30:00,,Columbus Blue Jackets,2,5,L,,24,26,9,L 1,"22,196",2:22
60,2/18/2019,8:30 PM,19:30:00,,Ottawa Senators,8,7,W,,25,26,9,W 1,"21,338",2:33
61,2/20/2019,7:30 PM,18:30:00,@,Detroit Red Wings,5,4,W,OT,26,26,9,W 2,"18,806",2:38
62,2/22/2019,7:30 PM,18:30:00,,Colorado Avalanche,3,5,L,,26,27,9,L 1,"21,653",2:27
63,2/24/2019,3:00 PM,14:00:00,,Dallas Stars,3,4,L,,26,28,9,L 2,"21,474",2:32
64,2/27/2019,10:00 PM,21:00:00,@,Anaheim Ducks,4,3,W,,27,28,9,W 1,"16,689",2:28
65,3/2/2019,4:00 PM,15:00:00,@,Los Angeles Kings,3,6,L,,27,29,9,L 1,"18,230",2:24
66,3/3/2019,10:00 PM,21:00:00,@,San Jose Sharks,2,5,L,,27,30,9,L 2,"17,252",2:17
67,3/7/2019,8:30 PM,19:30:00,,Buffalo Sabres,5,4,W,SO,28,30,9,W 1,"21,500",2:38
68,3/9/2019,8:00 PM,19:00:00,@,Dallas Stars,2,1,W,,29,30,9,W 2,"18,532",2:25
69,3/11/2019,8:30 PM,19:30:00,,Arizona Coyotes,7,1,W,,30,30,9,W 3,"21,574",2:27
70,3/13/2019,7:00 PM,18:00:00,@,Toronto Maple Leafs,5,4,W,,31,30,9,W 4,"19,342",2:28
71,3/16/2019,7:00 PM,18:00:00,@,Montreal Canadiens,2,0,W,,32,30,9,W 5,"21,302",2:24
72,3/18/2019,8:30 PM,19:30:00,,Vancouver Canucks,2,3,L,OT,32,30,10,L 1,"21,496",2:25
73,3/21/2019,8:30 PM,19:30:00,,Philadelphia Flyers,1,3,L,,32,31,10,L 2,"21,484",2:25
74,3/23/2019,3:00 PM,14:00:00,@,Colorado Avalanche,2,4,L,,32,32,10,L 3,"17,099",2:26
75,3/24/2019,8:00 PM,19:00:00,,Colorado Avalanche,2,1,W,OT,33,32,10,W 1,"21,410",2:35
76,3/26/2019,10:00 PM,21:00:00,@,Arizona Coyotes,0,1,L,,33,33,10,L 1,"15,055",2:19
77,3/28/2019,10:30 PM,21:30:00,@,San Jose Sharks,5,4,W,,34,33,10,W 1,"17,364",2:25
78,3/30/2019,10:30 PM,21:30:00,@,Los Angeles Kings,2,3,L,OT,34,33,11,L 1,"18,230",2:36
79,4/1/2019,8:30 PM,19:30:00,,Winnipeg Jets,3,4,L,OT,34,33,12,L 2,"21,314",2:33
80,4/3/2019,8:00 PM,19:00:00,,St. Louis Blues,4,3,W,SO,35,33,12,W 1,"21,482",2:39
81,4/5/2019,8:30 PM,19:30:00,,Dallas Stars,6,1,W,,36,33,12,W 2,"21,626",2:24
82,4/6/2019,8:00 PM,19:00:00,@,Nashville Predators,2,5,L,,36,34,12,L 1,"17,694",2:24
